"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,5786.5,5853,5762,5802.5,116318,641891
2016-02-15,5685,5796,5684.5,5783,84176,NA
2016-02-12,5530,5685,5512.5,5653.5,144168,639858
2016-02-11,5554,5583,5448,5496.5,186779,629523
2016-02-10,5594,5661.5,5562.5,5616.5,147197,628804
2016-02-09,5649,5688.5,5542.5,5595.5,177065,615023
2016-02-08,5820,5835,5606,5637.5,159437,623008
2016-02-05,5842.5,5894.5,5770,5793.5,129232,602531
2016-02-04,5849.5,5895,5778.5,5851,147491,597733
2016-02-03,5824.5,5869,5735,5787,155033,596636
2016-02-02,5980.5,5997.5,5814,5862.5,136987,595131
2016-02-01,6063,6069.5,5939,6003,131591,593523
2016-01-29,5881.5,6076,5862,6007,159530,589192
2016-01-28,5871,5969,5835,5878.5,148703,585042
2016-01-27,5859,5974.5,5817,5913.5,122017,578953
2016-01-26,5792.5,5888,5716.5,5865,113079,570794
2016-01-25,5885,5902.5,5779.5,5821,104247,570067
2016-01-22,5732,5899.5,5708,5858.5,134222,577969
2016-01-21,5707.5,5769,5603.5,5711.5,165141,586079
2016-01-20,5782.5,5787.5,5545.5,5604.5,168520,574311
2016-01-19,5744,5861.5,5738.5,5815.5,116101,569782
2016-01-18,5727.5,5798.5,5710.5,5728,91560,563702
2016-01-15,5917,5917,5682.5,5736,176803,558691
2016-01-14,5801.5,5948,5772.5,5877,151035,550819
2016-01-13,5893.5,5957.5,5782,5892.5,110827,548512
2016-01-12,5863.5,5934,5806.5,5875.5,112416,548279
2016-01-11,5800,5889.5,5789,5831,119654,544565
2016-01-08,5846.5,5960,5825,5872.5,133832,547302
2016-01-07,6000,6014.5,5823.5,5894.5,173142,538679
2016-01-06,6094,6100.5,5960,6012,115046,531247
2016-01-05,6100,6118,6026.5,6072,97738,529354
2016-01-04,6174.5,6192.5,6016,6022,148848,522328
2015-12-31,6206,6220,6182.5,6198,15678,522240
2015-12-30,6259.5,6261,6203,6226,50460,524008
2015-12-29,6213,6276,6181,6253,69879,528182
2015-12-28,6212,6212,6212,6212,NA,528491
2015-12-24,6209.5,6219,6185,6212,13961,528775
2015-12-23,6074,6218.5,6069.5,6195.5,78058,530986
2015-12-22,6018,6081.5,5979.5,6027.5,72496,529870
2015-12-21,5962.5,6065.5,5946,5999,81645,529526
2015-12-18,6020.5,6057,5949,6005,131111,528403
2015-12-17,6078,6119.5,6041.5,6067,102558,490334
2015-12-16,5979,6101,5973,6008.5,126319,400442
2015-12-15,5899.1163871825,5987.8808318114,5866.3875975428,5973.5,250865,388506
2015-12-14,5885.7273368753,5961.5986219492,5814.8149593226,5826.7163373734,261286,472407
2015-12-11,6028.0479827329,6036.974016271,5869.8588328076,5915.4807820023,181133,516481
2015-12-10,6032.5109995019,6076.1493856882,6017.1383861863,6047.8836128175,124713,552290
2015-12-09,6093.0096712602,6124.2507886435,5998.790428358,6085.0754192263,112696,559366
2015-12-08,6184.2535696497,6205.0809812386,6068.7110244064,6093.0096712602,130097,561278
2015-12-07,6233.8426448614,6236.8179893741,6157.4754690354,6164.9138303171,83344,563235
2015-12-04,6187.7248049145,6243.7604599037,6167.3932840777,6179.7905528806,115521,561810
2015-12-03,6344.9221733355,6394.0153577951,6148.0535447451,6240.2892246389,182706,557169
2015-12-02,6367.7331479329,6396.4948115557,6321.6153079861,6374.1797277104,81722,564832
2015-12-01,6328.0618877636,6373.1879462062,6314.1769467043,6345.9139548398,87611,562400
2015-11-30,6316.6564004649,6337.4838120538,6277.9769217998,6300.292005645,85854,563262
2015-11-27,6330.045450772,6338.9714843101,6292.8536443633,6327.5659970115,54983,564076
2015-11-26,6291.3659721069,6349.3851901046,6280.9522663125,6343.9303918313,51298,567263
