"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,1.4502,1.4536,1.4275,1.4285,131217,252646
2016-02-12,1.4482,1.4571,1.4443,1.4519,86379,255053
2016-02-11,1.4539,1.4564,1.4383,1.4471,105305,254550
2016-02-10,1.4471,1.4579,1.4438,1.4531,86602,253866
2016-02-09,1.4432,1.4517,1.4379,1.4455,89727,256920
2016-02-08,1.4499,1.4548,1.4352,1.444,75772,258774
2016-02-05,1.4577,1.4595,1.4453,1.4499,100014,263894
2016-02-04,1.4594,1.4674,1.453,1.4599,121443,269228
2016-02-03,1.4601,1.465,1.4385,1.4601,131867,269561
2016-02-02,1.4422,1.4447,1.4327,1.4414,96977,268106
2016-02-01,1.424,1.4446,1.4229,1.4443,109091,273445
2016-01-29,1.436,1.4414,1.415,1.4242,139747,270629
2016-01-28,1.4243,1.4408,1.4239,1.4364,108734,276144
2016-01-27,1.4348,1.4356,1.4231,1.425,95942,271811
2016-01-26,1.4242,1.4367,1.4173,1.4359,90961,273134
2016-01-25,1.4269,1.4363,1.4205,1.4256,67894,270587
2016-01-22,1.4223,1.4363,1.4205,1.4281,216480,270335
2016-01-21,1.4186,1.4249,1.4079,1.4217,116186,265676
2016-01-20,1.4165,1.422,1.4126,1.4154,101809,258824
2016-01-19,1.4261,1.4341,1.413,1.4177,175723,257342
2016-01-15,1.4418,1.4427,1.4259,1.4262,94315,248115
2016-01-14,1.4419,1.4445,1.4361,1.4405,79657,239443
2016-01-13,1.4427,1.4477,1.438,1.4445,82359,238223
2016-01-12,1.4432,1.456,1.4353,1.4432,104318,235437
2016-01-11,1.4509,1.4604,1.4495,1.4547,78844,230702
2016-01-08,1.4627,1.4646,1.4507,1.4517,96441,234090
2016-01-07,1.4632,1.4642,1.4534,1.4616,104726,229342
2016-01-06,1.4678,1.4682,1.4602,1.4628,71964,221381
2016-01-05,1.4719,1.4727,1.4638,1.4665,73628,216952
2016-01-04,1.4736,1.4818,1.4665,1.4713,93718,211757
2015-12-31,1.4808,1.4845,1.4726,1.4734,53915,204485
2015-12-30,1.4816,1.4849,1.4794,1.4832,39960,203484
2015-12-29,1.4884,1.4917,1.4788,1.4831,103130,196326
2015-12-28,1.4925,1.4938,1.4877,1.4888,29080,195853
2015-12-24,1.4877,1.4949,1.4874,1.4931,27585,195429
2015-12-23,1.483,1.4904,1.4824,1.4874,48026,193800
2015-12-22,1.4889,1.4911,1.481,1.4817,51113,187413
2015-12-21,1.4905,1.4933,1.488,1.4889,53004,183434
2015-12-18,1.491,1.4952,1.4888,1.4915,70219,178873
2015-12-17,1.4986,1.502,1.4867,1.4889,100482,168111
2015-12-16,1.5041,1.5104,1.496,1.5067,96941,165402
2015-12-15,1.5178,1.5187,1.503,1.5044,83272,161601
2015-12-14,1.5196,1.5206,1.5108,1.5142,69850,159010
2015-12-11,1.5158,1.5242,1.5126,1.5231,79655,143232
2015-12-10,1.5178,1.5202,1.5109,1.5154,79986,99544
2015-12-09,1.5010989844368,1.5194001912424,1.5004989448694,1.5165,145674,150493
2015-12-08,1.5046992218412,1.5060993141651,1.4956986283303,1.4995988855183,165058,166195
2015-12-07,1.5106996175152,1.5114996702717,1.5044992086521,1.5061993207597,69574,174943
2015-12-04,1.5144998681087,1.5158999604326,1.5078994328673,1.5102995911369,95442,182912
2015-12-03,1.4944985491955,1.515799953838,1.4901982656291,1.5150999076761,151405,191543
2015-12-02,1.5075994130836,1.5079994394619,1.4893982128726,1.4937985030335,96305,179614
2015-12-01,1.5061993207597,1.5124997362174,1.5049992416249,1.508199452651,59573,180037
2015-11-30,1.5034991427064,1.5068993669217,1.4992988657346,1.5059993075706,62029,177431
2015-11-27,1.5123997296228,1.5128997625956,1.502899103139,1.5049992416249,76581,167988
2015-11-25,1.508199452651,1.5135998087576,1.5055992811923,1.5125997428119,58456,167607
2015-11-24,1.5121997164337,1.5153999274598,1.5052992614086,1.508899498813,70544,165066
2015-11-23,1.5185001318913,1.5194001912424,1.5106996175152,1.5114996702717,66269,162580
2015-11-20,1.5287008045371,1.5308009430229,1.5184001252968,1.5191001714587,72734,164603
2015-11-19,1.5228004154577,1.5334011144817,1.5227004088631,1.5291008309153,87510,169586
2015-11-18,1.5213003165392,1.524800547349,1.5186001384859,1.5228004154577,52143,170872
2015-11-17,1.5198002176207,1.5237004748088,1.5152999208652,1.5209002901609,61571,167834
2015-11-16,1.5223003824848,1.5227004088631,1.5180000989185,1.5196002044315,46309,165983
2015-11-13,1.5227004088631,1.5269006858349,1.5185001318913,1.5228004154577,63840,165877
2015-11-12,1.5214003231337,1.5245005275653,1.5171000395674,1.5217003429174,77356,167027
2015-11-11,1.5117996900554,1.5219003561066,1.5116996834608,1.519500197837,71369,168430
2015-11-10,1.5110996438934,1.5142998549195,1.508899498813,1.5103995977315,48656,166282
2015-11-09,1.5050992482195,1.5124997362174,1.5038991690847,1.5109996372989,80907,164637
2015-11-06,1.5206002703772,1.5215003297283,1.5023990701662,1.5036991558955,123835,159019
2015-11-05,1.53840144421,1.5398015365339,1.5201002374044,1.5206002703772,149244,153109
2015-11-04,1.5418016684252,1.5442018266948,1.5357012661567,1.537701398048,67414,150326
2015-11-03,1.5413016354524,1.5442018266948,1.5356012595621,1.5434017739383,58770,152162
2015-11-02,1.5449018728568,1.5495021762068,1.5401015563176,1.5409016090741,70473,153914
2015-10-30,1.5308009430229,1.5466019849644,1.5306009298338,1.542301701398,108298,151585
2015-10-29,1.5263006462675,1.5319010155632,1.5239004879979,1.5313009759958,66634,154472
2015-10-28,1.530100896861,1.5344011804273,1.5244005209707,1.5247005407544,76047,152805
2015-10-27,1.5345011870219,1.5356012595621,1.5279007517805,1.5297008704827,65678,152834
2015-10-26,1.5305009232393,1.5379014112371,1.5302009034556,1.5348012068056,51635,153223
2015-10-23,1.5387014639937,1.5415016486415,1.5302009034556,1.531701002374,79748,157577
2015-10-22,1.5411016222633,1.5515023080981,1.5366013255078,1.53840144421,103228,155590
2015-10-21,1.5439018069111,1.5474020377209,1.5406015892904,1.5418016684252,50009,157416
2015-10-20,1.5456019190187,1.5502022223688,1.5432017607491,1.543701793722,48656,157871
2015-10-19,1.5435017805328,1.5492021564231,1.5424017079926,1.5464019717753,44589,155110
2015-10-16,1.5463019651807,1.548302097072,1.5426017211817,1.5454019058296,53752,156771
2015-10-15,1.5479020706937,1.5505022421525,1.5411016222633,1.5488021300448,91254,152321
2015-10-14,1.5245005275653,1.549002143234,1.5244005209707,1.5478020640992,122288,151561
2015-10-13,1.5338011408599,1.5383014376154,1.519500197837,1.524800547349,103058,146783
2015-10-12,1.5313009759958,1.5369013452915,1.5310009562121,1.5355012529676,40782,147501
2015-10-09,1.5343011738328,1.5379014112371,1.5296008638882,1.5334011144817,71363,150679
2015-10-08,1.5312009694012,1.5368013386969,1.5257006067001,1.5349012134002,89621,154484
2015-10-07,1.5229004220522,1.5334011144817,1.521800349512,1.5314009825903,82278,159772
2015-10-06,1.514199848325,1.5239004879979,1.5133997955685,1.522500395674,59518,162802
2015-10-05,1.5173000527565,1.5240004945925,1.5130997757848,1.5148998944869,79154,160435
2015-10-02,1.5125997428119,1.5232004418359,1.5123997296228,1.5185001318913,80079,159577
2015-10-01,1.5121997164337,1.5176000725402,1.5101995845423,1.5126997494065,63467,157886
2015-09-30,1.5147998878924,1.5209002901609,1.5100995779478,1.5113996636771,177759,155262
2015-09-29,1.5165,1.5200002308098,1.5123997296228,1.5152999208652,75100,151172
2015-09-28,1.5200002308098,1.5237004748088,1.5152999208652,1.5167000131891,62323,151670
2015-09-25,1.521800349512,1.5256006001055,1.5129997691902,1.518800151675,78847,149002
2015-09-24,1.5243005143762,1.5284007847534,1.519500197837,1.5229004220522,81272,150153
2015-09-23,1.5355012529676,1.5358012727513,1.5215003297283,1.5255005935109,102314,146041
2015-09-22,1.5502022223688,1.5523023608547,1.5335011210762,1.536101292535,85517,151412
2015-09-21,1.5519023344764,1.5562026180427,1.5475020443155,1.5499022025851,61212,149303
2015-09-18,1.5579027301504,1.5651032049591,1.5508022619362,1.5546025125297,93914,143486
2015-09-17,1.5489021366394,1.5623030203113,1.5481020838829,1.5609029279873,92892,142184
2015-09-16,1.5335011210762,1.5523023608547,1.532401048536,1.5482020904774,103712,145329
2015-09-15,1.5420016816143,1.5452018926405,1.5323010419414,1.5325010551306,58947,145405
2015-09-14,1.5422016948035,1.5464019717753,1.5366013255078,1.5428017343709,55323,145236
2015-09-11,1.543701793722,1.5456019190187,1.5394015101556,1.5420016816143,74251,127627
2015-09-10,1.5353068258721,1.5470015458348,1.5331078186997,1.5461019519916,138502,103878
2015-09-09,1.5387052915023,1.5397048402171,1.5342073222859,1.5358066002295,122365,150580
2015-09-08,1.5171150392635,1.5405044791889,1.5165153100346,1.5387052915023,158248,169894
