"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,1236.3,1236.3,1191.5,1208.2,620165,300352
2016-02-12,1247.1,1248.7,1232.9,1239.4,172103,302342
2016-02-11,1197.5,1263.9,1196.3,1247.8,636848,294073
2016-02-10,1194.6,1195.3,1181.6,1194.6,151070,293593
2016-02-09,1189.5,1199.3,1185.9,1198.6,180693,296035
2016-02-08,1174,1201.4,1164.5,1197.9,233554,283433
2016-02-05,1155.7,1175,1145.5,1157.7,206293,280451
2016-02-04,1157.5,1157.9,1139.7,1157.5,168596,276338
2016-02-03,1129.4,1146.2,1124.8,1141.3,181812,269012
2016-02-02,1128.5,1131.5,1122.6,1127.2,107807,267790
2016-02-01,1118,1130.2,1115.3,1128,111013,261834
2016-01-29,1116.4,1118.9,1108.5,1116.4,127264,257860
2016-01-28,1126.2,1126.4,1110.2,1116.1,146470,248055
2016-01-27,1120.2,1128.7,1115.2,1116.3,124865,206044
2016-01-26,1109.4,1123.6,1107.7,1120.6,89525,182867
2016-01-25,1097.7,1109.5,1094.1,1105.6,60292,164515
2016-01-22,1101.6,1103.5,1094.4,1096.3,134174,168052
2016-01-21,1100.9,1104.8,1092.5,1098.2,171037,194211
2016-01-20,1087.3,1109.9,1087.1,1106.2,183553,200960
2016-01-19,1089.3,1094.5,1082.1,1089.1,154348,211549
2016-01-15,1079.2,1097.5,1076,1090.7,168848,219738
2016-01-14,1093.6,1095.4,1071.1,1073.6,169528,223200
2016-01-13,1086.8,1095.6,1079.4,1087.1,148184,227953
2016-01-12,1094,1099.1,1083.1,1085.2,162076,240538
2016-01-11,1103.6,1108.3,1093.1,1096.2,187087,261337
2016-01-08,1108.8,1113.1,1091.8,1097.9,184682,271905
2016-01-07,1093.7,1109.9,1091.1,1107.8,203931,275025
2016-01-06,1076.8,1094.9,1074.4,1091.9,180313,272995
2016-01-05,1073.5,1081.5,1071.9,1078.4,99374,272926
2016-01-04,1061.5,1083,1061,1075.2,151922,279966
2015-12-31,1060.6,1062.7,1056.5,1060.2,53625,280974
2015-12-30,1068.2,1071.5,1058.5,1059.8,90764,275420
2015-12-29,1068.3,1074.6,1066.7,1068,76871,274756
2015-12-28,1075.2,1076.5,1065.7,1068.3,66434,278009
2015-12-24,1069.6,1076.6,1069.5,1075.9,48052,281910
2015-12-23,1072,1074.9,1067.6,1068.3,64355,283332
2015-12-22,1078,1080.3,1071.2,1074.1,75162,281829
2015-12-21,1065.2,1081.4,1063.1,1080.6,110031,280730
2015-12-18,1051.5,1071,1050,1065,116230,285395
2015-12-17,1072.2,1072.7,1046.8,1049.6,158157,279355
2015-12-16,1076.8,1077.9,1060.7,1076.8,136384,278288
2015-12-15,1059.8,1067.9,1057.4,1061.6,110473,282234
2015-12-14,1073,1077.3,1058.1,1063.4,115643,283570
2015-12-11,1071.4,1079.1,1061.7,1075.7,147354,283226
2015-12-10,1071.7,1076,1068.8,1072,95630,282569
2015-12-09,1074.3,1085,1068.7,1076.5,136148,282824
2015-12-08,1069.7,1078.4,1066.8,1075.3,120841,282716
2015-12-07,1085.5,1086.1,1065,1075.2,104418,279123
2015-12-04,1062,1088.3,1057.2,1084.1,200960,283588
2015-12-03,1053.5,1064.5,1045.4,1061.2,166800,286874
2015-12-02,1067.9,1071,1049.4,1053.8,117677,280502
2015-12-01,1064.6,1074,1062.6,1063.5,116063,278253
2015-11-30,1056,1069.1,1052.2,1065.3,106749,282623
2015-11-27,1070.6,1073.9,1051.6,1056.2,176209,263401
2015-11-25,1074.8,1079.9,1066.8,1069.7,98915,234408
2015-11-24,1067.6,1080.5,1067.6,1073.3,69317,216843
2015-11-23,1072.7,1076.3,1065.4,1066.6,67286,190002
2015-11-20,1080.3,1087.3,1074.9,1076.3,42410,167324
2015-11-19,1069.4984043047,1086.8016142499,1068.4982187587,1078.1,170004,173288
2015-11-18,1070.398571296,1074.7993876983,1062.1970498191,1068.8982929771,144706,188683
2015-11-17,1068.7982744225,1085.301335931,1064.5974951294,1068.7982744225,171736,194026
2015-11-16,1088.1018554597,1097.6036181464,1080.7004824195,1083.801057612,146771,191543
2015-11-13,1081.1005566379,1088.2018740143,1078.4000556638,1081.1005566379,126267,193969
2015-11-12,1085.6013915948,1089.2020595603,1073.1990908248,1081.2005751925,194119,203253
2015-11-11,1088.7019667873,1093.7028945171,1083.4009833936,1085.1012988218,158317,226262
2015-11-10,1091.002393543,1095.0031357269,1084.2011318304,1088.7019667873,138491,236981
2015-11-09,1089.3020781149,1095.1031542815,1087.6017626867,1088.3018925689,134634,247319
2015-11-06,1103.404694313,1109.9059003618,1084.7012246034,1087.9018183505,200321,257094
2015-11-05,1107.0053622785,1111.5061972354,1102.404508767,1104.404879859,144887,268181
2015-11-04,1117.6073290658,1122.508238241,1105.8051396233,1106.4052509509,147769,269748
2015-11-03,1133.1102050283,1138.2111513127,1113.8066239911,1114.3067167641,145139,280984
2015-11-02,1141.5117636144,1142.9120233788,1132.4100751461,1136.1107616662,99213,287124
2015-10-30,1146.8127470081,1150.0133407552,1138.6112255311,1141.611782169,110753,298145
2015-10-29,1156.3145096948,1162.715697189,1144.4123016977,1147.5128768902,143199,311965
2015-10-28,1166.916476482,1183.3195194359,1152.3137675109,1176.3182206142,178222,308827
2015-10-27,1163.215789962,1169.0168661286,1160.715326097,1166.0163094907,85842,314357
2015-10-26,1164.0159383987,1169.8170145654,1162.215604416,1166.4163837091,79510,316578
2015-10-23,1166.1163280453,1179.6188329159,1158.8149735597,1163.0157528528,145543,317962
2015-10-22,1167.0164950366,1172.0174227665,1161.6154930884,1166.3163651545,113813,316089
2015-10-21,1175.7181092866,1179.5188143613,1163.4158270712,1167.3165507004,116314,320296
2015-10-20,1170.8172001113,1181.6192040078,1167.416569255,1177.7184803785,116603,317127
2015-10-19,1177.1183690509,1178.4186102607,1168.5167733556,1173.0176083125,103992,315191
2015-10-16,1182.7194081084,1185.0198348641,1174.5178866314,1183.3195194359,103321,313496
2015-10-15,1184.2196864273,1191.9211151313,1174.117812413,1187.7203358382,181532,308396
2015-10-14,1168.416754801,1190.1207811485,1162.715697189,1180.0189071342,182441,294952
2015-10-13,1163.0157528528,1168.8168290194,1151.5136190741,1165.6162352723,130496,295171
2015-10-12,1155.2143055942,1168.8168290194,1154.514175712,1164.7160682809,106936,296249
2015-10-09,1138.3111698673,1159.5151034419,1138.2111513127,1156.1144725856,130172,292020
2015-10-08,1145.2124501345,1151.1135448557,1136.1107616662,1144.5123202523,121465,295537
2015-10-07,1146.7127284535,1153.8140458299,1141.5117636144,1148.9131366546,108982,295900
2015-10-06,1134.910539011,1151.2135634103,1134.7105019018,1146.6127098989,117242,293946
2015-10-05,1137.2109657668,1141.8118192782,1129.8095927266,1137.8110770943,110991,294672
2015-10-02,1112.7064198905,1141.111689396,1104.0048056406,1136.8108915484,179204,293204
2015-10-01,1114.7067909825,1118.7075331663,1110.5060116894,1113.9066425457,77330,290540
2015-09-30,1127.4091474163,1127.9092401893,1111.0061044624,1115.4069208646,149788,290517
2015-09-29,1131.6099267093,1134.5104647927,1123.7084608962,1127.0090731979,100555,292130
2015-09-28,1145.2124501345,1148.0129696632,1127.5091659709,1131.9099823731,137513,291933
2015-09-25,1151.2135634103,1151.3135819649,1140.3115409593,1145.8125614621,135045,293901
2015-09-24,1130.209666945,1156.6145653586,1129.709574172,1154.014082939,200333,283794
2015-09-23,1124.00851656,1134.2104091289,1121.3080155859,1131.7099452639,89667,284860
2015-09-22,1132.8101493645,1136.3107987754,1120.7079042583,1125.0087021059,110035,283672
2015-09-21,1138.9112811949,1139.6114110771,1128.9094257352,1133.0101864737,84316,289397
2015-09-18,1130.209666945,1141.7118007236,1127.1090917525,1138.0111142035,142636,284182
2015-09-17,1118.9075702755,1136.2107802208,1114.9068280917,1117.2072548474,135942,283993
2015-09-16,1104.6049169682,1123.9084980054,1103.2046572038,1119.2076259393,124456,282256
2015-09-15,1107.3054179423,1108.7056777067,1101.7043788849,1102.8045829854,75232,281135
2015-09-14,1107.2053993877,1110.0059189164,1102.8045829854,1107.9055292699,71765,282003
2015-09-11,1110.4059931348,1112.1063085629,1097.9036738102,1103.5047128676,111794,285540
2015-09-10,1105.9051581779,1114.3067167641,1102.7045644308,1109.5058261434,117443,285062
2015-09-09,1121.2079970313,1124.9086835513,1100.3041191205,1102.2044716579,161940,289932
2015-09-08,1123.2083681232,1126.2089247611,1114.9068280917,1121.2079970313,136076,286904
2015-09-04,1124.7086464422,1133.3102421375,1115.9070136376,1121.6080712497,110001,284163
2015-09-03,1133.4102606921,1134.0103720197,1121.2079970313,1124.7086464422,102965,280136
2015-09-02,1139.2113368587,1142.111874942,1131.4098896001,1133.8103349105,107512,281397
2015-09-01,1134.0103720197,1147.5128768902,1134.0103720197,1140.0114852955,125365,283844
2015-08-31,1132.9101679191,1136.5108358846,1125.2087392151,1132.7101308099,94018,285815
2015-08-28,1124.6086278876,1140.5115780685,1123.3083866778,1134.2104091289,142427,288473
2015-08-27,1125.2087392151,1128.709388626,1117.2072548474,1122.8082939048,136998,293384
2015-08-26,1140.1115038501,1146.2126356805,1117.1072362928,1124.8086649968,194946,303186
2015-08-25,1155.9144354764,1156.514546804,1134.2104091289,1138.5112069765,189764,309962
2015-08-24,1160.4152704332,1170.0170516746,1145.3124686891,1153.8140458299,256125,311379
2015-08-21,1153.5139901661,1168.1166991372,1148.7130995454,1159.8151591057,189837,315796
2015-08-20,1133.5102792467,1153.9140643845,1132.3100565915,1153.4139716115,175241,311248
2015-08-19,1117.4072919566,1134.5104647927,1115.7069765284,1128.1092772985,147276,309016
2015-08-18,1117.4072919566,1120.6078857037,1108.7056777067,1117.1072362928,116734,307849
2015-08-17,1113.7066054365,1122.4082196864,1113.1064941089,1118.6075146117,88564,308525
2015-08-14,1114.8068095371,1120.6078857037,1111.3061601262,1112.9064569997,101055,308754
2015-08-13,1125.4087763243,1126.5089804249,1113.0064755543,1115.806995083,129634,313203
2015-08-12,1108.4056220429,1125.7088319881,1101.3043046665,1123.8084794508,194201,313737
2015-08-11,1104.0048056406,1119.3076444939,1093.5028574079,1107.9055292699,187099,308909
2015-08-10,1094.2029872901,1108.7056777067,1089.2020595603,1104.3048613044,143109,305018
2015-08-07,1089.0020224511,1099.1038964653,1081.6006494109,1094.3030058447,165247,307923
2015-08-06,1084.301150385,1093.5028574079,1082.9008906207,1090.3022636608,90365,310562
2015-08-05,1087.5017441321,1091.9025605344,1082.2007607385,1085.801428704,110315,309406
2015-08-04,1085.5013730402,1094.6030615085,1080.4004267557,1090.9023749884,109149,317473
