"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,121.55,121.8,121.23,121.76,149496,465067
2016-02-15,121.45,121.84,121.22,121.75,89011,480256
2016-02-12,122.14,122.5,121.66,121.95,213255,477944
2016-02-11,122.37,123.64,122.32,123.12,344136,476760
2016-02-10,121.8,121.95,121.52,121.77,188292,478615
2016-02-09,121.72,122.11,121.44,121.83,244908,478140
2016-02-08,120.57,121.96,120.43,121.92,194544,468980
2016-02-05,120.47,120.86,120.15,120.35,156417,463316
2016-02-04,120.53,120.6,120.11,120.35,203201,473793
2016-02-03,120.58,121.14,120.19,120.89,212979,467752
2016-02-02,119.94,120.67,119.89,120.5,185683,462381
2016-02-01,120.52,120.55,119.71,119.76,181864,452468
2016-01-29,119.81,120.47,119.75,120.32,238139,441438
2016-01-28,119.45,119.76,119.1,119.45,204229,434184
2016-01-27,119.45,119.5,119.02,119.2,165143,435467
2016-01-26,119.68,119.88,119.13,119.27,195436,435478
2016-01-25,119.15,119.45,119.11,119.35,140356,440377
2016-01-22,119.45,119.45,118.79,119.07,186829,452562
2016-01-21,119.78,120,119.35,119.48,206439,451621
2016-01-20,119.7,120.14,119.61,119.98,218985,441867
2016-01-19,119.08,119.37,118.69,119.19,181790,445123
2016-01-18,119.54,119.54,119.18,119.31,103004,443854
2016-01-15,119.04,119.9,118.94,119.64,187481,436372
2016-01-14,118.83,119.35,118.75,118.9,183655,431873
2016-01-13,118.56,118.85,118.5,118.75,146949,433494
2016-01-12,118.3,118.86,118.14,118.67,175346,437022
2016-01-11,118.58,118.64,118.23,118.55,135468,440107
2016-01-08,118.3,118.78,118.06,118.59,155628,443210
2016-01-07,118.56,118.91,118.01,118.2,208201,423560
2016-01-06,117.7,118.34,117.66,118.29,169409,412718
2016-01-05,117.25,117.61,117.22,117.47,151516,412481
2016-01-04,117.04,117.58,117.04,117.44,129119,398357
2015-12-31,116.49,117.02,116.46,116.77,33564,401132
2015-12-30,117.02,117.06,116.35,116.44,94423,406414
