"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,15460,16355,15455,15960,47200,43420
2016-02-12,15285,15525,14815,15455,43576,42204
2016-02-11,15560,15640,15045,15240,23174,42098
2016-02-10,16190,16235,15455,15560,44065,41429
2016-02-09,16425,16440,15850,16135,32184,42176
2016-02-08,16590,17100,16225,16475,23575,41673
2016-02-05,16815,16910,16500,16585,19441,41154
2016-02-04,17020,17230,16720,16835,24244,41377
2016-02-03,17455,17485,16640,17060,33100,42253
2016-02-02,17770,17895,17385,17495,21964,42457
2016-02-01,17910,17940,17625,17770,18220,43535
2016-01-29,17075,17910,16780,17885,40069,42265
2016-01-28,17145,17300,16960,17110,19821,43023
2016-01-27,17035,17425,16970,17085,23953,43192
2016-01-26,16860,17125,16570,17090,23662,43023
2016-01-25,17285,17320,16470,16870,26804,42152
2016-01-22,16520,17305,16470,17250,34916,43110
2016-01-21,16430,16805,15820,16480,43352,43622
2016-01-20,17065,17085,15960,16375,37872,43943
2016-01-19,16800,17305,16670,17050,40801,46999
2016-01-15,17520,17630,16595,16820,29419,47311
2016-01-14,17255,17605,16950,17525,26775,47816
2016-01-13,17445,17765,17195,17235,17808,48159
2016-01-12,17395,17575,17125,17425,18740,48010
2016-01-11,17280,17585,17150,17410,10290,47828
2016-01-08,17635,18010,17270,17315,29433,47810
2016-01-07,18075,18195,17500,17605,26550,46867
2016-01-06,18460,18495,17930,18075,18040,47045
2016-01-05,18360,18585,18175,18435,15076,47860
2016-01-04,18820,18985,18130,18320,18954,47954
2015-12-31,18955,18965,18760,18805,2255,48096
2015-12-30,19170,19170,18915,18935,3351,48069
2015-12-29,18935,19190,18820,19150,4097,48099
2015-12-28,18855,18985,18810,18910,4146,48519
2015-12-24,19095,19130,18755,18840,3685,48587
2015-12-23,18935,19140,18870,19125,3579,48542
2015-12-22,18925,18965,18725,18955,6216,48811
2015-12-21,18845,19005,18665,18900,9297,49782
2015-12-18,19290,19930,18800,18835,25482,48986
2015-12-17,19385,19575,19265,19295,10178,48571
2015-12-16,18915,19440,18885,19380,14451,48816
2015-12-15,18845,19005,18565,18915,15629,46402
2015-12-14,18770,19015,18575,18820,20414,46947
2015-12-11,19100,19325,18650,18750,14827,47291
2015-12-10,19030,19200,19020,19105,14942,46981
2015-12-09,19455,19525,18925,19005,17099,42167
2015-12-08,19795.978344934,19831.077597319,19294.560453725,19450,35201,31448
2015-12-07,19775.921629286,19896.261923176,19680.652229956,19795.978344934,47559,49193
2015-12-04,19610.453725187,19806.006702758,19450,19775.921629286,20101,49399
2015-12-03,19936.375354473,20041.673111627,19490.113431297,19600.425367363,26544,51413
2015-12-02,20056.715648363,20071.758185099,19856.148491879,19931.361175561,7880,51576
2015-12-01,19831.077597319,20101.843258572,19831.077597319,20056.715648363,9868,52682
2015-11-30,19951.417891209,19961.446249033,19780.935808198,19851.134312967,10459,52739
2015-11-27,20001.55968033,20091.814900748,19861.162670791,19941.389533385,8462,52626
2015-11-25,19966.460427945,20011.588038154,19861.162670791,20001.55968033,7827,53263
2015-11-24,19946.403712297,20051.701469451,19831.077597319,19966.460427945,12180,54905
2015-11-23,20006.573859242,20121.89997422,19856.148491879,19931.361175561,5861,55001
2015-11-20,19921.332817737,20031.644753803,19795.978344934,20001.55968033,6516,54653
2015-11-19,20001.55968033,20051.701469451,19836.091776231,19921.332817737,9181,53911
2015-11-18,19876.205207528,20046.687290539,19730.794019077,20011.588038154,10353,52442
2015-11-17,19755.864913638,19961.446249033,19705.723124517,19891.247744264,11641,50929
2015-11-16,19379.801495231,19785.94998711,19304.588811549,19755.864913638,10243,50838
2015-11-13,19535.241041506,19710.737303429,19465.042536736,19490.113431297,11908,51237
2015-11-12,19735.808197989,19811.020881671,19515.184325857,19525.212683681,10277,52245
2015-11-11,19755.864913638,19871.191028616,19680.652229956,19770.907450374,7364,52504
2015-11-10,19510.170146945,19856.148491879,19485.099252385,19760.87909255,13688,54103
2015-11-09,19545.26939933,19775.921629286,19424.92910544,19525.212683681,14159,54655
2015-11-06,19294.560453725,19585.382830626,19254.447022428,19545.26939933,15234,53074
2015-11-05,19174.220159835,19434.957463264,19088.979118329,19304.588811549,11885,53157
2015-11-04,19114.05001289,19284.532095901,18973.653003351,19144.135086362,13643,51532
2015-11-03,19053.879865945,19214.333591132,19013.766434648,19124.078370714,6279,51036
2015-11-02,18933.539572055,19109.035833978,18727.958236659,19073.936581593,11599,49568
2015-10-30,19073.936581593,19329.65970611,18818.213457077,18968.638824439,17600,51152
2015-10-29,19254.447022428,19269.489559165,18928.525393143,19073.936581593,9993,51363
2015-10-28,18943.567929879,19304.588811549,18933.539572055,19294.560453725,12761,52514
2015-10-27,19124.078370714,19129.092549626,18883.397782934,18963.624645527,9697,53696
2015-10-26,19234.39030678,19254.447022428,19003.738076824,19088.979118329,9852,52230
2015-10-23,18983.681361176,19309.602990461,18873.36942511,19249.432843516,16479,50515
2015-10-22,18547.447795824,18998.723897912,18487.277648879,18978.667182263,12498,49449
2015-10-21,18301.753029131,18722.944057747,18276.682134571,18542.433616912,11678,49469
2015-10-20,18386.994070637,18392.008249549,18271.667955659,18316.795565867,7469,49054
2015-10-19,18477.249291054,18497.306006703,18201.469450889,18392.008249549,9808,47176
