"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,1864.5,1892.5,1864.5,1888.8,11580,130649
2016-02-12,1828,1860.5,1823.9,1858.3,4914,130516
2016-02-11,1842.5,1845.9,1803.5,1824.5,10614,127334
2016-02-10,1852,1876.5,1839.2,1846.7,5329,126572
2016-02-09,1850.1,1862.5,1826,1848.2,7514,126484
2016-02-08,1876,1883.8,1822.5,1852,5928,123988
2016-02-05,1905.5,1913.9,1866.5,1875.3,7134,120762
2016-02-04,1908,1921.5,1890.7,1907.8,3450,119995
2016-02-03,1897.5,1912,1865.5,1908.5,4079,119117
2016-02-02,1929,1929.1,1889.2,1897.4,15281,111662
2016-02-01,1931.5,1940,1912.8,1931.3,9667,107172
2016-01-29,1878.1,1932,1877.1,1930.1,11503,107524
2016-01-28,1879,1896,1866,1880.7,3490,107227
2016-01-27,1885,1910,1865,1875.1,8047,104721
2016-01-26,1872,1900,1851.4,1895.9,6691,105569
2016-01-25,1903.9,1904,1857.2,1870.2,6150,104452
2016-01-22,1860,1902,1856.1,1899.2,6708,104680
2016-01-21,1856.5,1883,1836.4,1861,6093,106160
2016-01-20,1874,1877.9,1804.5,1854.9,9942,106142
2016-01-19,1867.9,1907.1,1856.8,1872.9,7371,108166
2016-01-15,1916.2,1920.4,1849.5,1875,13084,98837
2016-01-14,1883.6,1927.3,1872,1914.6,12369,101624
2016-01-13,1926,1946.2,1878,1881.4,8131,98385
2016-01-12,1915.6,1940,1899.9,1924.9,6568,96681
2016-01-11,1912.7,1928.5,1893.5,1914.2,5421,94948
2016-01-08,1933,1964.4,1910,1911.5,6905,94807
2016-01-07,1987,1990.5,1929.2,1932.9,9484,92642
2016-01-06,2011.9,2012.6,1971.3,1985.9,7025,93768
2016-01-05,2010,2016.8,1992.6,2011.7,6417,93272
2016-01-04,2037.9,2042.4,1981,2009.1,20229,80698
2015-12-31,2054.5,2057.1,2030.5,2035.4,4211,80832
2015-12-30,2072.3,2074.2,2054,2054.6,3828,79487
2015-12-29,2049.7,2074,2048,2072.8,8080,78894
2015-12-28,2052.4,2053.4,2035.5,2048.8,4504,76472
2015-12-24,2052.9,2059.3,2045,2051.2,652,79680
2015-12-23,2034.2,2057.8,2031.5,2053,7422,80015
2015-12-22,2020.6,2036.3,2007.8,2035.9,3563,79568
2015-12-21,1999,2019,1995.9,2014.9,1227,79639
2015-12-18,2024,2028.9,1991.5,1991.9,12732,70338
2015-12-17,2060.7,2073,2023.1,2024.7,4191,68096
2015-12-16,2048.6612132619,2067.0862168814,2033.722021138,2063.7,16605,62722
2015-12-15,2030.2362096424,2044.6774286955,2030.2362096424,2037.3074272477,24781,64307
2015-12-14,2004.3416099609,2015.2970175185,1987.4105255538,2010.2176921963,25553,81266
2015-12-11,2016.7909367309,2025.1568843203,1999.8598523237,2001.6525553786,34365,83293
2015-12-10,2039.1001303026,2058.1227016071,2036.211886492,2040.9924279716,15095,89420
2015-12-09,2054.1389170407,2071.0700014478,2027.7463442884,2033.8216157521,14066,89631
2015-12-08,2071.8667583611,2072.464326046,2042.1875633415,2050.3543217026,8948,91175
2015-12-07,2083.7185174461,2086.7063558709,2057.6247285363,2072.5639206602,7312,91071
2015-12-04,2047.8644563486,2084.0173012885,2039.0005356884,2079.933922108,14848,95048
2015-12-03,2074.5558129434,2086.7063558709,2032.2281019256,2042.8847256407,11325,94697
2015-12-02,2091.0885188939,2096.2674388302,2067.4845953381,2073.1614883452,5226,94996
2015-12-01,2078.3404082815,2092.4828434921,2075.2529752425,2091.3873027364,6022,92826
2015-11-30,2081.2286520921,2086.4075720284,2070.572028377,2071.3687852903,5400,93579
2015-11-27,2080.9298682496,2089.3954104532,2073.061893731,2081.4278413204,1481,94209
2015-11-25,2076.1493267699,2083.6189228319,2074.4562183292,2079.6351382655,2256,95203
2015-11-24,2074.2570291009,2082.5233820762,2057.6247285363,2076.2489213841,3909,95606
2015-11-23,2080.4318951788,2084.316085131,2070.3728391487,2075.7509483133,1868,95155
2015-11-20,2068.679730708,2085.5112205009,2067.9825684089,2080.2327059505,4871,98798
2015-11-19,2069.5760822354,2080.7306790213,2066.7874330389,2070.7712176053,6995,98678
2015-11-18,2040.3948602867,2073.5598668018,2035.016751122,2071.2691906761,6941,98618
2015-11-17,2038.0045895468,2054.6368901115,2034.7179672796,2040.6936441291,5334,100257
2015-11-16,1999.7602577096,2042.1875633415,1991.3943101202,2039.6976979875,6667,99928
2015-11-13,2030.7341827132,2037.1082380194,2004.1424207326,2010.4168814246,7894,96328
2015-11-12,2059.6166208195,2068.679730708,2031.7301288548,2032.3276965397,6707,95790
2015-11-11,2068.082163023,2078.3404082815,2059.6166208195,2060.6125669611,2553,98064
2015-11-10,2064.297567685,2070.7712176053,2056.1308093239,2069.6756768496,3472,97794
2015-11-09,2083.021355147,2088.4990589257,2054.6368901115,2064.4967569133,10923,95569
2015-11-06,2085.6108151151,2089.6941942956,2069.0781091646,2085.2124366585,3462,95387
2015-11-05,2086.7063558709,2095.6698711452,2076.0497321558,2085.5112205009,5134,95697
2015-11-04,2092.8812219487,2100.8487910815,2082.2245982337,2086.2083828001,5515,95148
2015-11-03,2085.5112205009,2101.4463587665,2080.6310844071,2094.3751411611,8099,96026
2015-11-02,2063.7,2090.9889242797,2056.3299985522,2086.9055450992,4067,95181
2015-10-30,2076.6472998407,2085.7104097293,2062.1064861734,2065.2935138266,7310,97510
2015-10-29,2072.5639206602,2077.5436513682,2064.4967569133,2074.5558129434,5597,97486
2015-10-28,2052.6449978283,2076.3485159983,2047.6652671203,2076.0497321558,6367,96094
2015-10-27,2055.2344577964,2056.0312147097,2043.6814825539,2052.0474301433,2758,97897
2015-10-26,2057.6247285363,2058.6206746779,2049.5575647893,2053.9397278124,3361,99574
2015-10-23,2045.6733748371,2065.6918922832,2044.976212538,2057.6247285363,10373,102852
2015-10-22,2001.9513392211,2047.1672940495,2000.8557984653,2044.7770233097,15998,101808
2015-10-21,2009.5205298972,2025.2564789344,1999.8598523237,2000.3578253945,5525,101817
2015-10-20,2017.6872882583,2023.2645866512,2010.8152598813,2012.4087737078,4857,101431
2015-10-19,2016.2929636601,2019.6791805415,2006.6322860866,2019.1812074707,3482,100230
2015-10-16,2010.7156652671,2017.7868828724,2004.8395830317,2017.2889098017,3647,101965
