"Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
2016-02-16,164.84375,165.15625,163.75,164.375,2429,12488
2016-02-12,167.03125,167.28125,164.8125,165.125,3936,11038
2016-02-11,166.46875,169.4375,166.375,167,3984,10584
2016-02-10,164.8125,166.3125,163.9375,165.71875,2244,10453
2016-02-09,164.46875,165.90625,163.9375,164.78125,2403,9795
2016-02-08,162.125,164.78125,161.5625,164.6875,2526,7968
2016-02-05,161.9375,162.40625,160.8125,161.9375,1226,7680
2016-02-04,160.96875,161.75,160.375,161.4375,750,6400
2016-02-03,162.1875,162.875,160.90625,161.0625,2885,5185
2016-02-02,159.625,162,159.59375,161.71875,930,4280
2016-02-01,159.90625,160.34375,159.15625,159.1875,717,3195
2016-01-29,158.71875,160.5,158.625,159.71875,1762,1815
2016-01-28,158.625,159.28125,157.8125,158.71875,733,1088
2016-01-27,158.46875,159.03125,157.6875,158.65625,132,1021
2016-01-26,159.09375,159.4375,158.15625,158.8125,292,886
2016-01-25,157.71875,158.46875,156.90625,158.28125,32,875
2016-01-22,158,158.4375,156.84375,157.65625,120,802
2016-01-21,158.96875,159.71875,157.9375,158.1875,191,692
2016-01-20,158.0625,160.1875,157.5,159.0625,445,341
2016-01-19,157.90625,158.25,156.6875,158,170,426
2016-01-15,157.125,158.28125,157.03125,157.71875,1060,109
2016-01-14,157.15625,157.34375,155.625,156.09375,50,139
2016-01-13,155.46875,157.65625,155.375,157.125,55,121
2016-01-12,154.0625,156.46875,153.65625,156.15625,37,99
2016-01-11,155.3125,155.3125,153.96875,154.34375,13,88
2016-01-08,154.34375,155.21875,153.65625,154.9375,10,79
2016-01-07,153.5625,154.9375,153.5625,154.59375,76,19
2016-01-06,153.84375,154.28125,153.84375,154.28125,3,16
2016-01-05,152.28125,152.59375,152.28125,152.375,2,14
2016-01-04,152.9375,153.28125,152.9375,152.9375,0,14
2015-12-31,151.75,152.4375,151.75,152.4375,2,12
2015-12-30,151.5,151.9375,151.5,151.9375,1,11
2015-12-29,152.625,152.625,151.46875,151.96875,12,9
2015-12-28,154.3125,154.3125,154.3125,154.3125,0,9
2015-12-24,153.75,153.75,153.75,153.75,0,9
2015-12-23,153,153,152.8125,152.9375,2,7
2015-12-22,153.75,153.75,153.75,153.75,0,7
2015-12-21,154.75,154.75,154.75,154.75,0,7
2015-12-18,155,155.0625,155,155.0625,2,5
2015-12-17,154.59375,154.59375,154.59375,154.59375,0,5
2015-12-16,153.21875,153.21875,153.21875,153.21875,0,5
2015-12-15,153.40625,153.40625,153.40625,153.40625,0,5
2015-12-14,154.125,154.125,154.125,154.125,0,5
2015-12-11,155.3125,155.90625,155.3125,155.90625,4,1
2015-12-10,153.8125,153.8125,153.8125,153.8125,0,1
2015-12-09,152.9375,154.15625,152.9375,154.15625,1,0
2015-12-08,153.53125,153.53125,153.53125,153.53125,0,0
2015-12-07,153.96875,153.96875,153.96875,153.96875,0,0
2015-12-04,152.46875,152.46875,152.46875,152.46875,0,0
2015-12-03,152.09375,152.09375,152.09375,152.09375,0,0
2015-12-02,156.09375,156.09375,156.09375,156.09375,0,0
2015-12-01,155.84375,155.84375,155.84375,155.84375,0,0
2015-11-30,154,154,154,154,0,0
2015-11-27,153.84375,153.84375,153.84375,153.84375,0,0
2015-11-25,153.875,153.875,153.875,153.875,0,0
2015-11-24,153.78125,154.40625,153.34375,153.625,232559,195047
2015-11-23,153.0625,153.9375,152.46875,153.59375,146026,72915
2015-11-20,153.15625,153.6875,152.96875,153.0625,63774,23590
2015-11-19,152.34375,153.5625,152.3125,153.3125,15904,15073
2015-11-18,152.25,152.6875,151.84375,152.46875,4683,14130
2015-11-17,152.03125,152.78125,151.25,152.5,3188,13107
2015-11-16,152.59375,152.875,151.78125,151.90625,2631,11229
2015-11-13,151.71875,152.28125,151.4375,152.0625,615,10980
2015-11-12,150.84375,151.84375,150.625,151.53125,7053,5313
2015-11-11,150.84375,151.125,150.65625,150.6875,386,5225
2015-11-10,150.625,151.5,150.5,151.28125,471,5060
2015-11-09,151.0625,151.125,150.09375,150.78125,1152,4597
2015-11-06,152.9375,153.15625,150.5,151,1196,3871
2015-11-05,153.4375,153.5625,152.34375,152.75,749,4034
2015-11-04,153.5,153.875,153,153.3125,503,3781
2015-11-03,154.5,154.84375,153.15625,153.28125,864,3100
2015-11-02,155.65625,155.65625,154.25,154.40625,477,2654
2015-10-30,154.28125,155.25,154.28125,155.09375,1134,2018
2015-10-29,156.03125,156.78125,154.3125,154.4375,369,1859
2015-10-28,156.96875,156.96875,155.96875,156.71875,98,1898
2015-10-27,156.78125,157.5625,156.5,157.09375,139,1164
2015-10-26,155.71875,156.75,155.65625,156.5625,68,1132
2015-10-23,156.28125,157.0625,155.15625,155.71875,127,1174
2015-10-22,156.96875,157.625,156.375,156.96875,55,1180
2015-10-21,156.1875,157.25,156.15625,156.96875,109,897
2015-10-20,156.375,157.15625,155.6875,155.84375,49,881
2015-10-19,157.3125,157.46875,156.15625,156.9375,23,882
2015-10-16,157.71875,157.875,157.09375,157.5,79,649
2015-10-15,158,158.21875,157.25,157.28125,91,667
2015-10-14,157,158.25,156.875,158.15625,111,257
2015-10-13,156.3125,156.9375,156.09375,156.40625,2,257
2015-10-12,156,156.46875,155.375,156.40625,4,256
2015-10-09,155.21875,155.65625,154.40625,155.5,122,279
2015-10-08,156.53125,156.78125,154.8125,154.96875,263,167
2015-10-07,156.21875,156.375,155.3125,156.1875,202,84
2015-10-06,155.25,156.40625,155.25,156.3125,2,84
2015-10-05,156,157.53125,155.65625,155.75,10,89
2015-10-02,156.28125,159,156.0625,157.3125,34,80
2015-10-01,156.4375,156.8125,155.65625,156.40625,11,69
2015-09-30,155.5,155.9375,155.34375,155.9375,1,69
2015-09-29,156.25,156.53125,155.625,156.5,51,19
2015-09-28,155.3125,156.15625,155.3125,156.15625,13,7
2015-09-25,155.53125,155.53125,154.0625,154.0625,1,7
2015-09-24,155.625,155.625,155.3125,155.3125,4,3
2015-09-23,154.15625,154.25,153.625,154.25,2,2
2015-09-22,154.15625,154.375,154.15625,154.375,1,1
2015-09-21,152.125,152.125,152.125,152.125,0,1
2015-09-18,154.375,154.375,154.375,154.375,0,1
2015-09-17,151.75,151.75,151.75,151.75,0,1
2015-09-16,150.4375,150.4375,150.4375,150.4375,0,1
2015-09-15,151.03125,151.03125,151.03125,151.03125,0,1
2015-09-14,153.59375,153.59375,153.59375,153.59375,0,1
2015-09-11,153.4375,153.4375,153.4375,153.4375,0,1
2015-09-10,152.40625,152.40625,152.40625,152.40625,0,1
2015-09-09,153.28125,153.28125,153.28125,153.28125,0,1
2015-09-08,152.5625,152.5625,152.5625,152.5625,0,1
2015-09-04,154.4375,154.4375,154.4375,154.4375,0,1
2015-09-03,153.09375,153.09375,153.09375,153.09375,0,1
2015-09-02,152.625,152.625,152.625,152.625,0,1
2015-09-01,153.25,153.25,153.25,153.25,0,1
2015-08-31,153.25,153.25,153.25,153.25,0,1
2015-08-28,153.84375,153.84375,153.84375,153.84375,0,1
2015-08-27,154,154,154,154,0,0
2015-08-26,156.00595177922,156.43955974525,152.56806004852,153.1875,232242,169996
2015-08-25,157.64746765063,157.74038364335,154.76707187626,154.85998786899,171677,59109
2015-08-24,157.89524363122,160.09425545896,156.93511170643,157.98815962394,75610,25221
2015-08-21,157.33774767489,157.89524363122,156.74927972099,157.24483168217,17657,15523
2015-08-20,155.97497978164,157.39969167004,155.88206378892,157.18288768702,7790,11570
2015-08-19,154.92193186413,156.22275576223,154.05471593207,155.91303578649,5839,11075
2015-08-18,155.82011979377,156.3776157501,154.67415588354,154.82901587141,2135,10082
2015-08-17,155.41748382531,156.43955974525,155.26262383744,156.22275576223,2050,9055
2015-08-14,155.23165183987,155.75817579863,154.51929589567,155.26262383744,1716,8170
2015-08-13,155.47942782046,155.91303578649,154.27151991508,155.04581985443,1831,7193
2015-08-12,155.94400778407,157.74038364335,155.26262383744,155.75817579863,3324,5986
2015-08-11,154.08568792964,156.47053174282,153.99277193692,155.94400778407,2264,4703
2015-08-10,155.72720380105,155.75817579863,153.80693995148,153.93082794177,1262,4345
2015-08-07,154.27151991508,155.82011979377,153.62110796603,155.6652598059,1465,4199
2015-08-06,152.93972401941,154.20957591994,152.63000404367,153.86888394662,875,3247
2015-08-05,153.71402395875,153.99277193692,152.28931207036,152.81583602911,470,3336
2015-08-04,154.82901587141,154.98387585928,153.71402395875,154.02374393449,625,2806
2015-08-03,153.55916397089,155.01484785685,153.28041599272,154.70512788112,971,2635
2015-07-31,152.63000404367,153.74499595633,152.0105640922,153.0636120097,1405,2082
2015-07-30,150.80265618682,152.63000404367,150.64779619895,152.32028406793,379,898
2015-07-29,151.97959209462,152.10348008492,151.14334816013,151.57695612616,165,899
2015-07-28,152.50611605338,152.56806004852,151.57695612616,152.07250808734,210,723
2015-07-27,151.8866761019,152.97069601698,151.8866761019,152.35125606551,448,551
2015-07-24,151.94862009705,152.22736807521,151.57695612616,151.76278811161,341,565
2015-07-23,150.33807622321,151.85570410433,150.02835624747,151.66987211888,64,542
2015-07-22,149.78058026688,150.64779619895,149.71863627173,150.40002021836,33,532
2015-07-21,149.25405630813,149.81155226446,148.23198038819,149.53280428629,83,511
2015-07-20,149.22308431055,149.65669227659,148.63461635665,148.94433633239,50,349
2015-07-17,148.94433633239,149.50183228872,148.47975636878,149.31600030328,24,348
2015-07-16,147.3957364537,148.78947634452,147.2718484634,148.5726723615,142,272
2015-07-15,146.52852052163,148.17003639304,146.28074454104,148.07712040032,27,270
2015-07-14,146.6833805095,146.83824049737,146.03296856045,146.74532450465,19,263
2015-07-13,147.11698847554,147.48865244642,145.56838859685,146.37366053376,22,254
2015-07-10,148.29392438334,148.29392438334,146.28074454104,146.28074454104,95,198
2015-07-09,151.63890012131,151.63890012131,148.6965603518,148.75850434695,119,149
