"","FTSE100_returns_1984.05.08","Nikkei225_returns_1990.09.27","SP500_returns_1982.04.23","US_2Y_Note_returns_1990.06.26","US_30Y_returns_1977.08.24","AUD_returns_1987.01.15","CHF_returns_1975.02.18","GBP_returns_1975.02.18","Copper_returns_1959.07.07","Cotton_returns_1972.08.24","Brent_Crude_returns_1993.03.19","Gas_Oil_returns_bereinigt_1989.12.13","Heating_Oil_returns_bereinigt_1979.03.08","Natural_Gas_returns_1990.04.05","Gold_returns_1975.01.03","Palladium_returns_1977.01.07","Platinum_returns_1969.01.06","Long_Gilt_returns_1990.08.21","US_5Y_Note_returns_1988.05.24","US_10Y_returns_1982.05.05"
"1997-02-20",0.116079286566665,0,0.358582547993384,0,0,0.00852028805277824,0,0.131438949449318,0.0929405749477675,0.133575987209238,0.103864365131145,0,0,0,0,0.0549980006497046,0,0,0,0
"1997-02-21",0.116663233702517,0,0.357944631111623,0,0,0.0087982840277808,0,0.130555340459068,0.0929719720328369,0.133381705915065,0.10385946299976,0,0,0,0,0.0558253697513503,0,0,0,0
"1997-02-24",0.116735874615665,0,0.357994158634934,0,0,0.00896811655550805,0,0.130642432649005,0.0928609627852686,0.133229722250264,0.103771661864269,0,0,0,0,0.0557970706450862,0,0,0,0
"1997-02-25",0.115890756382129,0,0.358600790346073,0,0,0.00707289114693684,0,0.130814947743957,0.0930406134258679,0.134392520758596,0.104116369674788,0,0,0,0,0.0560711105216525,0,0,0,0
"1997-02-26",0.119879982560137,0,0.350838661649557,0,0,0,0,0.124248668367073,0.0947232492408345,0.137814517226992,0.104191964254149,0,0,0,0,0.0683029567012578,0,0,0,0
"1997-02-27",0.137224176926342,0,0.334342208120395,0,0,0.00219881485089156,0,0.110700721980996,0.0951138349711644,0.134643516547286,0.100869342216128,0,0,0,0,0.0849073843867982,0,0,0,0
"1997-02-28",0.124991287147411,0,0.3294412882186,0,0,0.019271297940347,0,0.12881761053514,0.0926393507140248,0.135204726705792,0.0929364370621167,0,0,0,0,0.0766980016765682,0,0,0,0
"1997-03-03",0.124212945897592,0,0.32597882512936,0,0,0.0305971788386968,0,0.121312161296732,0.0917913181436131,0.13477317047561,0.0929493491563646,0,0,0,0,0.0783850510620314,0,0,0,0
"1997-03-04",0.129434315044836,0,0.328476801625001,0,0,0.0430171416441596,0,0.116257684831632,0.0894561657795464,0.123162233121484,0.0993202203493875,0,0,0,0,0.0708754376039531,0,0,0,0
"1997-03-05",0.126773018586913,0,0.345350981014248,0,0,0.0133222194172478,0,0.120723703892892,0.0929821012578625,0.131957169613131,0.101712979241942,0,0,0,0,0.0671778269757643,0,0,0,0
"1997-03-06",0.121826651474548,0,0.351949008644747,0,0,0.0078747010339835,0,0.125585531652442,0.0933425085440416,0.134517111619697,0.102778353422812,0,0,0,0,0.0621261336077292,0,0,0,0
"1997-03-07",0.118457010244997,0,0.358535931720631,0,0,0.00810049815468286,0,0.110916298193132,0.09426514277068,0.137860977342018,0.107205679710327,0,0,0,0,0.0646584618635317,0,0,0,0
"1997-03-10",0.123242686750347,0,0.355843411358252,0,0,0,0,0.112481295847604,0.0934518463822396,0.136644298440916,0.107054044927543,0,0,0,0,0.0712824162930983,0,0,0,0
"1997-03-11",0.129354069817366,0,0.344502282251988,0,0,0.0140657802148872,0,0.103702376785996,0.0928375143719379,0.137678145266686,0.100239377489385,0,0,0,0,0.0776204538017538,0,0,0,0
"1997-03-12",0.127018886118656,0,0.334299973066577,0,0,0.0384810053023083,0,0.114447394464752,0.089361073147661,0.125122113855479,0.100337804089442,0,0,0,0,0.0709317499551238,0,0,0,0
"1997-03-13",0.128445993800084,0,0.330914232870634,0,0,0.0426506332527621,0,0.112308913291881,0.0895836258815963,0.124421697887758,0.100199564953731,0,0,0,0,0.0714753380615533,0,0,0,0
"1997-03-14",0.128597218815116,0,0.331041718026362,0,0,0.0419540402109657,0,0.112124024494901,0.0901260988345917,0.12486017334416,0.100513281239386,0,0,0,0,0.0707834450345179,0,0,0,0
"1997-03-17",0.128118376791785,0,0.332864126161099,0,0,0.0411281174937689,0,0.115628823439711,0.089814220826869,0.125431502714469,0.100667721206106,0,0,0,0,0.0663471113661928,0,0,0,0
"1997-03-18",0.131740153078229,0,0.332945656223078,0,0,0.0368861780133272,0,0.11934819682713,0.0911480888792508,0.128304078090899,0.103113557832766,0,0,0,0,0.0565140910553202,0,0,0,0
"1997-03-19",0.128118376791785,0,0.332864126161099,0,0,0.0411281174937691,0,0.115628823439711,0.0898142208268689,0.125431502714469,0.100667721206106,0,0,0,0,0.0663471113661928,0,0,0,0
"1997-03-20",0.127525958504679,0,0.331957228901052,0,0,0.0411164197662052,0,0.112771911341538,0.0903665151580139,0.125358269596862,0.100610244185605,0,0,0,0,0.0702934525460449,0,0,0,0
"1997-03-21",0.126627280599854,0,0.335710123835192,0,0,0.0353897578671089,0,0.11351716438953,0.0909886770864038,0.125572041130125,0.101071278764761,0,0,0,0,0.0711236763270255,0,0,0,0
"1997-03-24",0.114092568015827,0,0.343850240083353,0,0,0.0282662999120545,0,0.12418670181185,0.0928020187467698,0.133068410372501,0.102746110295556,0,0,0,0,0.0609876507620898,0,0,0,0
"1997-03-25",0.124489666396263,0,0.342878409746076,0,0,0.0289933806940282,0,0.123077050478031,0.0905495572595309,0.128291682249445,0.101864159916489,0,0,0,0,0.0598560932601374,0,0,0,0
"1997-03-26",0.131775757835726,0,0.333984076721449,0,0,0.0155909959305805,0,0.145491028975735,0.0867323212133713,0.12311024290723,0.0983511105654004,0,0,0,0,0.0649644658505076,0,0,0,0
"1997-03-27",0.126595531202014,0,0.320993008160827,0,0,0.0404578820544111,0,0.142562483849471,0.0869162884428731,0.12218708292887,0.0961963403640472,0,0,0,0,0.0640913829974855,0,0,0,0
"1997-03-31",0.126151165803656,0,0.307345044590659,0,0,0.0643996904302801,0,0.135975644651009,0.0863628283204064,0.119024763427545,0.0942506249401138,0,0,0,0,0.0664902378363302,0,0,0,0
"1997-04-01",0.12020640386586,0,0.31226847511523,0,0,0.0517616521569804,0,0.142470659072635,0.0876184518241536,0.123149827841355,0.0945588852523561,0,0,0,0,0.0679656448714301,0,0,0,0
"1997-04-02",0.129268687154959,0,0.300648392735642,0,0,0.0543925217025525,0,0.141845617224462,0.0906771530866842,0.125904801287937,0.0905190366783326,0,0,0,0,0.0667437901294304,0,0,0,0
"1997-04-03",0.126178246863055,0,0.303081954001473,0,0,0.0472589898648834,0,0.171736893746955,0.0826383217540823,0.117809678777018,0.0906559140126288,0,0,0,0,0.0606400009799043,0,0,0,0
"1997-04-04",0.119890559985502,0,0.309989976680353,0,0,0.0484622303797915,0,0.144157539177928,0.0890117484265902,0.130523208074635,0.0896390837107639,0,0,0,0,0.0683256535644366,0,0,0,0
"1997-04-07",0.125817925449113,0,0.311844047559227,0,0,0.0437697886296831,0,0.144212052332964,0.0862754296660331,0.12521574963431,0.0910673888573253,0,0,0,0,0.0717976178713441,0,0,0,0
"1997-04-08",0.12430284295126,0,0.315046275736134,0,0,0.0489617533630348,0,0.137872642624456,0.0879124101740192,0.125491597819326,0.0900535593634696,0,0,0,0,0.0703589179683001,0,0,0,0
"1997-04-09",0.130902414143294,0,0.310457999500232,0,0,0.0448669381582477,0,0.134367407360859,0.0876590489464569,0.124958142834569,0.0920220166833539,0,0,0,0,0.074766032372987,0,0,0,0
"1997-04-10",0.130037994468632,0,0.309008182166246,0,0,0.0496420512921167,0,0.13561929948982,0.0877048992745827,0.120995441771762,0.0939509571890433,0,0,0,0,0.0730411743477976,0,0,0,0
"1997-04-11",0.134802525470654,0,0.294233373061077,0,0,0.0568446132706872,0,0.147517739784555,0.0882711153822686,0.121799716464227,0.0890228407542457,0,0,0,0,0.0675080758122851,0,0,0,0
"1997-04-14",0.132266507974138,0,0.303204756804686,0,0,0.0525065340662621,0,0.13966527694447,0.0875734556173993,0.122673158938837,0.0923268391278836,0,0,0,0,0.0697834705263233,0,0,0,0
"1997-04-15",0.13295724752829,0,0.305185500905957,0,0,0.0456263374050001,0,0.155013051347175,0.0846206566972653,0.121835428567008,0.0907250387105936,0,0,0,0,0.0640367388387107,0,0,0,0
"1997-04-16",0.12437447379865,0,0.311840553945823,0,0,0.0424558776878959,0,0.15346915301002,0.0852917936654607,0.121403818250267,0.0906071357406725,0,0,0,0,0.0705571939012102,0,0,0,0
"1997-04-17",0.124737156018065,0,0.311205668356776,0,0,0.0426163880463316,0,0.153785680033746,0.0851903854420862,0.121529988445957,0.090569175294631,0,0,0,0,0.0703655583624074,0,0,0,0
"1997-04-18",0.126577718803601,0,0.309778887281769,0,0,0.039879661037695,0,0.155168369185554,0.0856478258481601,0.118151040977096,0.0923823820418514,0,0,0,0,0.0724141148242722,0,0,0,0
"1997-04-21",0.12806323867365,0,0.310027130589984,0,0,0.0410057732789707,0,0.148818375615531,0.0864483592467096,0.119040234245177,0.0931296188353798,0,0,0,0,0.0734672695145976,0,0,0,0
